Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-07-24 23:38:22,2024-07-25 23:49:19,UTC-07:00,2024-07-25 19:42:00,2024-07-25 20:16:21,34,Running,11.3,317.0,169,134,18,14,5,56,0,false,,,
2024-07-24 23:38:22,2024-07-25 23:49:19,UTC-07:00,2024-07-25 09:46:30,2024-07-25 10:02:59,16,Hiking/Rucking,4.2,33.0,130,92,37,12,0,0,0,false,,,
2024-07-24 00:50:26,2024-07-24 23:38:22,UTC-07:00,2024-07-24 19:33:17,2024-07-24 20:16:50,43,Cycling,14.7,586.0,182,156,0,8,17,53,22,false,,,
2024-07-22 23:35:52,2024-07-24 00:50:26,UTC-07:00,2024-07-23 19:05:00,2024-07-23 19:33:00,28,Running,10.4,256.0,173,130,5,1,12,47,4,false,,,
2024-07-22 23:35:52,2024-07-24 00:50:26,UTC-07:00,2024-07-23 16:56:00,2024-07-23 18:56:00,120,Weightlifting,9.0,205.0,136,88,36,5,0,0,0,false,,,
2024-07-21 23:42:40,2024-07-22 23:35:52,UTC-07:00,2024-07-22 19:54:00,2024-07-22 20:37:09,43,Basketball,12.4,478.0,173,144,2,13,31,54,0,false,,,
2024-07-21 23:42:40,2024-07-22 23:35:52,UTC-07:00,2024-07-22 18:00:00,2024-07-22 19:50:00,110,Weightlifting,7.7,188.0,134,89,39,5,0,0,0,false,,,
2024-07-19 22:47:13,2024-07-21 02:13:54,UTC-05:00,2024-07-20 11:24:00,2024-07-20 11:52:29,28,Activity,5.8,152.0,146,115,30,58,12,0,0,false,,,
2024-07-17 23:16:28,2024-07-19 00:14:07,UTC-05:00,2024-07-18 22:08:00,2024-07-18 23:02:00,54,Weightlifting,10.5,81.0,130,88,29,4,0,0,0,false,,,
2024-07-17 23:16:28,2024-07-19 00:14:07,UTC-05:00,2024-07-18 21:33:00,2024-07-18 22:07:29,34,Weightlifting,4.4,68.0,143,95,56,8,2,0,0,false,,,
2024-07-17 00:29:46,2024-07-17 23:16:28,UTC-05:00,2024-07-17 11:45:00,2024-07-17 11:59:59,14,Kayaking,4.1,32.0,137,92,30,14,0,0,0,false,,,
2024-07-13 01:04:52,2024-07-13 22:03:42,UTC-05:00,2024-07-13 12:47:00,2024-07-13 16:30:00,223,Hiking/Rucking,9.7,605.0,166,97,45,13,2,1,0,false,,,
2024-07-13 01:04:52,2024-07-13 22:03:42,UTC-05:00,2024-07-13 10:23:58,2024-07-13 12:46:13,142,Hiking/Rucking,11.9,729.0,164,111,24,35,21,2,0,true,4742.13,1327.79,433.15
2024-07-13 01:04:52,2024-07-13 22:03:42,UTC-05:00,2024-07-13 09:09:00,2024-07-13 10:22:00,73,Hiking/Rucking,7.7,305.0,159,103,20,24,13,2,0,false,,,
2024-07-02 23:10:16,2024-07-04 01:35:42,UTC-07:00,2024-07-03 20:11:00,2024-07-03 21:00:00,49,Spin,9.0,357.0,159,125,14,38,46,1,0,false,,,
2024-07-02 23:10:16,2024-07-04 01:35:42,UTC-07:00,2024-07-03 18:15:00,2024-07-03 20:10:00,115,Weightlifting,6.9,186.0,132,87,30,4,0,0,0,false,,,
2024-07-02 02:54:09,2024-07-02 23:10:16,UTC-07:00,2024-07-02 19:24:00,2024-07-02 19:53:59,29,Spin,7.3,244.0,145,129,0,59,41,0,0,false,,,
2024-06-30 02:16:02,2024-07-01 01:30:57,UTC-07:00,2024-06-30 13:03:00,2024-06-30 13:26:59,23,Spin,7.5,219.0,155,134,0,26,72,2,0,false,,,
2024-06-29 01:56:03,2024-06-30 02:16:02,UTC-07:00,2024-06-29 14:19:30,2024-06-29 14:41:59,22,Spin,6.4,169.0,148,126,7,49,44,0,0,false,,,
2024-06-28 01:19:29,2024-06-29 01:56:03,UTC-07:00,2024-06-28 18:15:00,2024-06-28 18:34:59,19,Basketball,6.5,164.0,161,129,3,31,63,3,0,false,,,
2024-06-28 01:19:29,2024-06-29 01:56:03,UTC-07:00,2024-06-28 17:24:00,2024-06-28 18:01:29,37,Basketball,8.3,286.0,163,126,17,20,59,3,0,false,,,
2024-06-25 20:45:51,2024-06-27 01:50:40,UTC-07:00,2024-06-26 19:52:30,2024-06-26 20:16:29,23,Weightlifting,4.7,77.0,153,99,31,23,9,0,0,false,,,
2024-06-24 02:30:02,2024-06-24 23:45:23,UTC-07:00,2024-06-24 19:25:30,2024-06-24 19:41:59,16,Weightlifting,4.8,72.0,139,110,52,47,1,0,0,false,,,
2024-06-22 01:59:58,2024-06-23 03:00:44,UTC-07:00,2024-06-22 22:30:00,2024-06-23 01:38:00,188,Weightlifting,8.7,334.0,144,88,26,6,0,0,0,false,,,
2024-06-22 01:59:58,2024-06-23 03:00:44,UTC-07:00,2024-06-22 11:43:59,2024-06-22 13:02:10,78,Running,18.4,1151.0,183,162,0,1,8,61,30,true,12178.90,265.65,1.16
2024-06-18 00:33:28,2024-06-19 02:27:37,UTC-07:00,2024-06-18 20:22:30,2024-06-18 21:19:29,56,Rowing,11.4,410.0,167,123,24,18,12,33,0,false,,,
2024-06-18 00:33:28,2024-06-19 02:27:37,UTC-07:00,2024-06-18 19:21:00,2024-06-18 19:53:59,32,Weightlifting,4.7,84.0,138,98,48,21,3,0,0,false,,,
2024-06-17 01:46:57,2024-06-18 00:33:28,UTC-07:00,2024-06-17 18:31:30,2024-06-17 19:05:59,34,Spin,8.1,254.0,156,125,25,30,40,5,0,false,,,
2024-06-16 02:13:10,2024-06-17 01:46:57,UTC-07:00,2024-06-16 22:09:00,2024-06-16 23:25:29,76,Rowing,12.8,626.0,168,128,14,18,46,15,0,false,,,
2024-06-14 01:36:22,2024-06-15 03:01:29,UTC-07:00,2024-06-14 18:00:00,2024-06-14 18:29:59,29,Weightlifting,5.0,98.0,140,103,46,33,3,0,0,false,,,
2024-06-12 02:43:22,2024-06-13 01:41:08,UTC-07:00,2024-06-12 20:40:06,2024-06-12 21:06:33,26,Cycling,9.0,260.0,171,137,1,30,40,29,0,false,,,
2024-06-11 04:14:25,2024-06-12 02:43:22,UTC-07:00,2024-06-11 23:39:00,2024-06-12 00:10:29,31,Rowing,9.9,313.0,169,138,7,16,44,32,0,false,,,
2024-06-11 04:14:25,2024-06-12 02:43:22,UTC-07:00,2024-06-11 22:28:30,2024-06-11 22:43:29,14,Weightlifting,4.3,39.0,122,101,76,13,0,0,0,false,,,
